"guid","name","known for","date of birth","date of death","picture","related person 1","related person 2","related person 3","related person 4","related person 5","personal related person 1","personal related person 2","personal related person 3","related event 1","related event 2","related event 3","related event 4","related event 5","personal related event 1","personal related event 2","personal related event 3","notes","personal notes","source & license","tags"
"l8R}3kd:dl","Ferenc Deák","Hungarian statesman known as the 'Wise Man of the Nation'; intellectual force behind the Austro-Hungarian Compromise of 1867.","1803","1876","<img src=""uh_ferenc-deák.jpg"">","Franz Joseph I of Austria (1830–1916): emperor with whom Deák negotiated the 1867 Compromise that established the dual monarchy","Gyula Andrássy (1823–1890): ally who supported Deák in negotiations leading to the compromise; first Prime Minister after 1867","Lajos Kossuth (1802–1894): revolutionary rival from 1848 who opposed Deák's compromise approach and condemned it in an open letter","","","","","","Austro-Hungarian Compromise (1867): constitutional settlement that Deák masterminded, establishing the dual monarchy and restoring Hungarian self-governance","Hungarian Revolution of 1848–1849 (1848–1849): uprising in which Deák played a key role as member of the first Hungarian responsible ministry","","","","","","","Reform leader in the Diets of 1833, 1839, and 1841, advocating for emancipation of serfs and modern legal framework. Franz Joseph I said: 'There were three of us who made the agreement: Deák, Andrássy and myself.' Hungarian: [ˈfɛrɛnt͡s ˈdɛaːk]","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Ferenc_Deák_(politician)#/media/File:Portrait_of_Ferenc_Deák.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"O>vo`T]<+p","Francisco de Paula Santander","Colombian military and political leader; Bolívar's vice president; first constitutional president of New Granada.","1792","1840","<img src=""uh_francisco-de-paula-santander.jpg"">","Antonio José de Sucre (1795–1830): fellow independence leader and ally in Bolívar's revolutionary campaigns","Simón Bolívar (1783–1830): revolutionary leader Santander served as vice president; their relationship deteriorated over constitutional conflicts","","","","","","","Congress of Angostura (1819): constitutional assembly where Santander helped establish Gran Colombia's government structure","Venezuelan War of Independence (1810–1823): conflict in which Santander fought alongside Bolívar to liberate northern South America","","","","","","","Known as 'The Man of Laws' for his emphasis on constitutional governance. Served as vice president of Gran Colombia (1819–1826) while Bolívar campaigned. Later became president of New Granada (1832–1837). His disagreements with Bolívar over centralism versus federalism contributed to Gran Colombia's dissolution.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Francisco_de_Paula_Santander#/media/File:Santander_by_Acevedo_Bernal.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::South_America"
"sSPAF^Im<m","Franz Joseph I of Austria","Emperor of Austria and King of Hungary; ruled for 68 years through multiple crises","1830","1916","<img src=""uh_franz-joseph-i-of-austria.jpg"">","Archduke Franz Ferdinand of Austria (1863–1914): nephew and heir whose assassination triggered World War I","Empress Elisabeth of Austria (1837–1898): wife whose unconventional life and tragic assassination marked Franz Joseph's personal history","Lajos Kossuth (1802–1894): Hungarian revolutionary whose 1848 uprising challenged Franz Joseph's early reign","","","","","","Assassination of Archduke Franz Ferdinand (1914): event that drew Franz Joseph's empire into World War I","Austro-Hungarian Compromise (1867): constitutional settlement that transformed the empire and established Franz Joseph as King of Hungary","Austro-Prussian War (1866): defeat that excluded Austria from German affairs and weakened Franz Joseph's position","","","","","","Longest-reigning Habsburg monarch; witnessed empire's decline from great power to wartime collapse.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Franz_Joseph_I#/media/File:Franz_Joseph_I_of_Austria.1910_(cropped).jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"bMAubM^5om","Frederick Douglass","American abolitionist, writer, and orator; escaped slavery to become leading voice for abolition and civil rights.","1818","1895","<img src=""uh_frederick-douglass.jpg"">","Abraham Lincoln (1809–1865): president whom Douglass pressured to make emancipation a war aim and to allow Black soldiers in Union army","William H. Seward (1801–1872): Secretary of State and fellow abolitionist with whom Douglass worked on anti-slavery efforts","","","","","","","American Civil War (1861–1865): conflict during which Douglass recruited Black troops and advocated for emancipation","Emancipation Proclamation (Proclamation 95) (1863): decree Douglass had long advocated for and celebrated as a crucial step toward freedom","Thirteenth Amendment to the US Constitution (1865): constitutional abolition of slavery that fulfilled Douglass's life work","","","","","","Born Frederick Augustus Washington Bailey. Born into slavery; escaped in 1838. Published influential autobiography <i>Narrative of the Life of Frederick Douglass</i> (1845). Founded abolitionist newspaper <i>The North Star</i>. Powerful orator whose speeches galvanized anti-slavery movement. After Civil War, continued advocating for civil rights and women's suffrage until his death.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Frederick_Douglass#/media/File:Frederick_Douglass_(circa_1879)_(cropped).jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::North_America"
"ok7sdno!.3","Friedrich Engels","Co-author of foundational socialist works with Karl Marx","1820","1895","<img alt=""Head shot of Engels facing right"" src=""uh_friedrich-engels.jpg"">","Karl Marx (1818–1883): closest collaborator and intellectual partner with whom Engels co-developed Marxist theory","Wilhelm Liebknecht (1826–1900): socialist ally who worked with Engels to spread Marxist ideas in Germany","","","","","","","First International (1864–1876): organization Engels helped guide, especially after Marx’s declining health","Industrial Revolution (c. 1760–c. 1840): economic context Engels analyzed in detail, particularly the conditions of the working class","Revolutions of 1848 (1848–1849): upheavals in which Engels and Marx participated and which shaped their political analysis","","","","","","Financed Marx for years; wrote extensively on class and industrial labor.","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Friedrich_Engels#/media/File:Friedrich_Engels_portrait_(cropped).jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"j6zR*c*Zqw","Gebhard Leberecht von Blücher","Prussian field marshal; crucial role in Napoleon's defeat at Waterloo; known for aggressive tactics.","1742","1819","<img src=""uh_gebhard-leberecht-von-blücher.jpg"">","Arthur Wellesley, 1st Duke of Wellington (1769–1852): British commander whose army Blücher reinforced at Waterloo to secure Napoleon's final defeat","Napoleon Bonaparte (1769–1821): French emperor whom Blücher fought against throughout the Napoleonic Wars","","","","","","","Battle of Waterloo (1815): decisive engagement where Blücher's arrival turned the tide against Napoleon","Napoleonic Wars (1803–1815): prolonged conflict in which Blücher led Prussian forces against French domination","","","","","","","Known as 'Marshal Forward' for his aggressive tactics. Led Prussian forces in the 1813 Leipzig campaign. Despite being 72 at Waterloo, his timely arrival with Prussian forces was decisive in defeating Napoleon. His boldness and determination made him a national hero in Prussia.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Gebhard_Leberecht_von_Blücher#/media/File:George_Dawe_(1781-1829)_-_Field_Marshal_Prince_von_Blücher_(1742–1819)_-_WM.1536-1948_-_Apsley_House.jpg"">Wikipedia</a> (Public domain)","UH::Period::18th_Century, UH::Period::19th_Century, UH::Region::Europe"
"K9.3bMXKTG","George Stephenson","Railway pioneer; built the first practical locomotives","1781","1848","<img src=""uh_george-stephenson.jpg"">","Isambard Kingdom Brunel (1806–1859): contemporary railway engineer whose parallel achievements defined early rail transport","Robert Stephenson (1803–1859): son and engineering collaborator who helped refine and extend his locomotive designs","","","","","","","","","","","","","","","Known as the 'Father of Railways' for his engineering breakthroughs.","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/George_Stephenson#/media/File:George_Stephenson_-_Project_Gutenberg_etext_13103.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"0*nyo5=b1@","Georges Danton","French revolutionary leader; first president of the Committee of Public Safety; executed during the Terror","1759","1794","<img src=""uh_georges-danton.jpg"">","Louis XVI (1754–1793): voted for the execution of","Maximilien Robespierre (1758–1794): early ally who was later executed by","","","","","","","French Revolution (1789–1799): leading figure in early revolutionary government","Reign of Terror (1793–1794): initially supported but later opposed; executed as a moderate","Thermidorian Reaction (1794): execution helped spark opposition leading to","","","","","","Known for his powerful oratory and physical presence. Famous quote: ""Boldness, more boldness, always boldness\!"" Initially allied with Robespierre, he later advocated ending the Terror and was executed for ""moderation"" on April 5, 1794.","","Image: <a href=""https://en.wikipedia.org/wiki/Georges_Danton#/media/File:Anonyme_-_Portrait_de_Georges_Danton_(1759-1794),_orateur_et_homme_politique_-_P712_-_musée_Carnavalet.jpg"">Wikipedia</a> (CC0)","UH::Period::18th_Century, UH::Region::Europe::Western, UH::Theme::Politics"
"u2+0,X.xZ]","Giuseppe Garibaldi","Italian nationalist military leader; unified southern Italy through military campaigns","1807","1882","<img src=""uh_giuseppe-garibaldi.jpg"">","Camillo Benso, Count of Cavour (1810–1861): pragmatic statesman who maneuvered to incorporate Garibaldi's gains into the Italian kingdom","Giuseppe Mazzini (1805–1872): republican ideologue whose vision inspired Garibaldi's nationalist fervor","Victor Emmanuel II (1820–1878): monarch to whom Garibaldi ceded his conquests to complete Italian unification","","","","","","Expedition of the Thousand (1860): legendary campaign in which Garibaldi conquered Sicily and southern Italy with a volunteer force","Unification of Italy (Risorgimento) (1848–1871): nationalist movement in which Garibaldi provided crucial military successes","","","","","","","Charismatic guerrilla leader and international revolutionary icon; fought for liberation movements in South America and Europe.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Giuseppe_Garibaldi#/media/File:Giuseppe_Garibaldi_1861.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"nEl-BOx4K8","Giuseppe Mazzini","Italian politician, journalist, and activist for the unification of Italy (Risorgimento) and spearhead of the Italian revolutionary movement.&nbsp;Influenced the Italian and European republican movements, the Constitution of Italy, and Europeanism, as well as politicians of a later period.","1805","1872","<img src=""uh_giuseppe-mazzini.jpg"">","Giuseppe Garibaldi (1807–1882): ally and fellow nationalist who collaborated with Mazzini in the struggle for Italian unification","Giuseppe Verdi (1813–1901): cultural contemporary whose works became symbols of the nationalist movement Mazzini championed","Lajos Kossuth (1802–1894): kindred revolutionary with whom Mazzini shared republican and anti-absolutist ideals","","","","","","Revolutions of 1848 (1848–1849): continent-wide uprisings that aligned with Mazzini’s republican and nationalist aims","Unification of Italy (Risorgimento) (1848–1871): nationalist movement in which Mazzini was a leading ideological force","","","","","","","Italian: [dʒuˈzɛppe matˈtsiːni]","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Giuseppe_Mazzini#/media/File:Giuseppe_Mazzini.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"Kwx=AL`9b$","Giuseppe Verdi","Italian opera composer; his music became the soundtrack of the Risorgimento; elected to first Italian Parliament in 1861.","1813","1901","<img src=""uh_giuseppe-verdi.jpg"">","Camillo Benso, Count of Cavour (1810–1861): statesman who insisted Verdi be elected to the first Italian Parliament in 1861","Giuseppe Mazzini (1805–1872): nationalist leader whom Verdi met in London; requested Verdi write a patriotic hymn in 1848","Victor Emmanuel II (1820–1878): king whose name was secretly praised through 'Viva Verdi' (Viva Vittorio Emanuele Re D'Italia); Verdi met with him in 1859","","","","","","Unification of Italy (Risorgimento) (1848–1871): nationalist movement for which Verdi's operas provided the soundtrack and shaped public sentiment","","","","","","","","Composed <i>Nabucco</i> (1842) with chorus 'Va, pensiero,' which became an unofficial anthem of the Risorgimento. <i>La battaglia di Legnano</i> (1849) was an opera with a patriotic purpose. Considered an emblematic figure of Italian national narrative alongside Cavour, Mazzini, and Garibaldi.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Giuseppe_Verdi#/media/File:Primo_ritratto_boldiniano_di_Verdi.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"G2s)vw:|<O","Gyula Andrássy","Hungarian statesman; key architect of Austro-Hungarian Compromise; first Prime Minister of Hungary under dual monarchy.","1823","1890","<img src=""uh_gyula-andrássy.jpg"">","Franz Joseph I of Austria (1830–1916): emperor with whom Andrássy negotiated the Compromise that created Austria-Hungary","Lajos Kossuth (1802–1894): revolutionary leader whose failed 1848 uprising Andrássy participated in before later pursuing accommodation with Austria","Otto von Bismarck (1815–1898): German chancellor with whom Andrássy cooperated at the Congress of Berlin","","","","","","Austro-Hungarian Compromise (1867): constitutional settlement Andrássy helped negotiate, establishing the dual monarchy","Congress of Berlin (1878): diplomatic conference where Andrássy represented Austria-Hungary and secured control of Bosnia-Herzegovina","Hungarian Revolution of 1848–1849 (1848–1849): failed uprising in which Andrássy fought; was sentenced to death in absentia but later pardoned","","","","","","Participated in 1848 Hungarian revolution; fled into exile after its failure. Returned after amnesty and became leader of moderate Hungarian nationalists. Negotiated the 1867 Compromise as Hungarian prime minister. Later served as Austro-Hungarian foreign minister (1871–1879). Successfully balanced Hungarian autonomy with loyalty to the Habsburg crown. Hungarian: [ˈɟulɒ ˈɒndraːʃi]","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Gyula_Andrássy#/media/File:Andrássy_Gyula_foto.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"z,e4$VG:FW","Helmuth von Moltke the Elder","Prussian field marshal; architect of German unification victories","1800","1891","<img src=""uh_helmuth-von-moltke-the-elder.jpg"">","Helmuth von Moltke the Elder (1800–1891): nephew and eventual successor who inherited aspects of Moltke’s strategic legacy","Otto von Bismarck (1815–1898): political partner whose diplomacy and statecraft complemented Moltke’s military strategy","Wilhelm I (1797–1888): monarch under whom Moltke served as Chief of the General Staff during Prussia’s major wars","","","","","","Austro-Prussian War (1866): conflict in which Moltke’s operational planning secured rapid Prussian victory","Franco-Prussian War (1870–1871): major war where Moltke directed German forces to decisive triumph over France","","","","","","","Introduced modern staff organization and rail-based mobilization.","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Helmuth_von_Moltke_the_Elder#/media/File:Portrait_of_Helmuth_von_Moltke_the_Elder_(by_Carl_Günther)_-_BNF_Gallica_(cropped).jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"hHP57z/mcM","Homo habilis","Early Homo species; first hominin with significantly more advanced tool use","c. 1,700,000 BCE","","<img src=""uh_homo-habilis.jpg"">","Turkana Boy (c. 1,500,000 BCE): later Homo erectus that survived while Homo habilis died out","Zinj (c. 1,750,000 BCE): contemporary Paranthropus species with different adaptations","","","","","","","","","","","","","","","Found in northern Tanzania. Latin for 'dextrous man'. The skull was much closer to our own than Australopithecus or Paranthropus. This hominin would have enjoyed using its hands in a more sophisticated manner with fingers that could hold and manipulate objects such as stones and tools for cutting meat off the bone.","","An African History of Africa by Zeinab Badawi (Penguin Random House UK, 2025)<br><br>Image: <a href=""https://en.wikipedia.org/wiki/File:KNM_ER_1813_(H._habilis).png"">Wikipedia</a> (Creative Commons Attribution 4.0 International)","UH::Period::Prehistory, UH::Region::Africa"
"QzfM$aYnPx","Horatio Nelson, 1st Viscount Nelson","British naval commander; defeated French fleet at Trafalgar","1758","1805","<img src=""uh_horatio-nelson-1st-viscount-nelson.jpg"">","Arthur Wellesley, 1st Duke of Wellington (1769–1852): fellow British military hero whose land victories complemented Nelson's naval dominance","Napoleon Bonaparte (1769–1821): primary adversary whose naval ambitions Nelson repeatedly thwarted","","","","","","","Battle of Trafalgar (1805): climactic naval battle in which Nelson's fleet crushed the Franco-Spanish navy but cost him his life","","","","","","","","Lost his right arm and sight in one eye in earlier battles; died at moment of greatest victory at Trafalgar.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/File:HoratioNelson1.jpg"">Wikipedia</a> (Public domain)","UH::Period::18th_Century, UH::Period::19th_Century, UH::Region::Europe"
"B/)rgZ77oZ","Isambard Kingdom Brunel","English civil engineer and mechanical engineer.&nbsp;One of the greatest figures of the Industrial Revolution.&nbsp;Built dockyards, the Great Western Railway (GWR), a series of steamships including the first purpose-built transatlantic steamship, and numerous important bridges and tunnels. His designs revolutionised public transport and modern engineering.","1806","1859","<img alt=""A 19th-century man wearing a jacket, trousers, and waistcoat, with his hands in his pockets and a cigar in mouth, wearing a tall stovepipe top hat, standing in front of giant iron chains on a drum."" src=""uh_isambard-kingdom-brunel.jpg"">","George Stephenson (1781–1848): pioneering railway engineer whose contemporaneous work paralleled Brunel’s achievements","Marc Isambard Brunel (1769–1849): father and engineering mentor whose innovations shaped Brunel’s early training","","","","","","","","","","","","","","","In 2002, Brunel was placed second in a BBC public poll to determine the ""100 Greatest Britons"".<br><br>During his career, Brunel achieved many engineering firsts, including assisting his father in the building of the first tunnel under a navigable river (the River Thames) and the development of the SS&nbsp;Great Britain, the first propeller-driven, ocean-going iron ship, which, when launched in 1843, was the largest ship ever built.","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Isambard_Kingdom_Brunel#/media/File:Robert_Howlett_(Isambard_Kingdom_Brunel_Standing_Before_the_Launching_Chains_of_the_Great_Eastern),_The_Metropolitan_Museum_of_Art_-_restoration1.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"LHtydE)}7n","James Watt","Engineer whose steam engine innovations powered industrialization","1736","1819","<img src=""uh_james-watt.jpg"">","John Roebuck (1718–1794): early patron who supported Watt’s engine work before financial troubles forced a transfer of rights to Boulton","Joseph Black (1728–1799): scientist and friend whose studies of heat informed Watt’s understanding of steam power","Matthew Boulton (1728–1809): business partner who financed and manufactured Watt’s improved steam engines","","","","","","Industrial Revolution (c. 1760–c. 1840): transformative era in which Watt’s engine became a foundational technology","","","","","","","","His engine improvements greatly increased industrial efficiency.","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/James_Watt#/media/File:Watt_James_von_Breda.jpg"">Wikipedia</a> (Public domain)","UH::Period::18th_Century, UH::Period::19th_Century, UH::Region::Europe"
"FHe]oH&gN%","Jean-Paul Marat","Radical journalist and politician; published L'Ami du peuple; assassinated by Charlotte Corday","1743","1793","<img src=""uh_jean-paul-marat.jpg"">","Georges Danton (1759–1794): fellow revolutionary leader in early radical phase","Maximilien Robespierre (1758–1794): fellow radical Jacobin","","","","","","","French Revolution (1789–1799): radical voice calling for purges of counter-revolutionaries","","","","","","","","Suffered from a painful skin disease that forced him to work from a medicinal bath. Assassinated by Charlotte Corday on July 13, 1793, while in his bathtub. His death was immortalized in David's painting ""The Death of Marat.""","","Image: <a href=""https://en.wikipedia.org/wiki/File:Jean-Paul_Marat_portre.jpg"">Wikipedia</a> (Public domain)","UH::Period::18th_Century, UH::Region::Europe::Western, UH::Theme::Politics"
"hBWb0c=)ji","Jefferson Davis","President of the Confederate States; led the South during the Civil War.","1808","1889","<img src=""uh_jefferson-davis.jpg"">","Abraham Lincoln (1809–1865): opposing president whose Union government Davis's Confederacy fought against","Robert E. Lee (1807–1870): commanding general of Confederate armies whose military leadership Davis depended upon","Stephen A. Douglas (1813–1861): former Senate colleague with whom Davis debated slavery and states' rights","","","","","","American Civil War (1861–1865): conflict in which Davis served as president of the Confederate States from 1861 to 1865","","","","","","","","Former U.S. Senator and Secretary of War under Franklin Pierce. Elected Confederate president in February 1861. Struggled with internal Confederate politics and state governors who resisted central authority. Captured in Georgia in May 1865 and imprisoned for two years but never tried for treason.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Jefferson_Davis#/media/File:President-Jefferson-Davis.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::North_America"
"zK1D)4J,9$","Johann Wolfgang von Goethe","German writer and polymath; author of <i>Faust</i>; towering figure of German Romanticism","1749","1832","<img alt=""Portrait by Joseph Karl Stieler, 1828"" src=""uh_johann-wolfgang-von-goethe.jpg"">","Joseph Haydn (1732–1809): musical contemporary who shaped the cultural landscape alongside Goethe","Ludwig van Beethoven (1770–1827): composer whose works Goethe admired and with whom he corresponded","Napoleon Bonaparte (1769–1821): military leader whom Goethe admired as an embodiment of great historical forces","","","","","","Age of Enlightenment (1687–1789): intellectual movement that shaped Goethe's early development and worldview","French Revolution (1789–1799): upheaval that profoundly influenced European thought during Goethe's maturity","","","","","","","Wrote <i>The Sorrows of Young Werther</i> and <i>Faust</i>; also contributed to natural science, particularly color theory and morphology.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe#/media/File:Goethe_(Stieler_1828).jpg"">Wikipedia</a> (Public domain)","UH::Period::18th_Century, UH::Period::19th_Century, UH::Region::Europe"
"pq(fIaV[[S","John Roebuck","British physician, chemist, and industrialist; pioneered sulfuric acid production; founded Carron ironworks; early backer of Watt's steam engine.","1718","1794","","James Watt (1736–1819): inventor whose steam engine Roebuck backed financially from 1768, receiving a two-thirds share in the invention","Matthew Boulton (1728–1809): manufacturer who took over Roebuck's share in Watt's patent after Roebuck's bankruptcy in 1772","","","","","","","Industrial Revolution (c. 1760–c. 1840): transformation that Roebuck contributed to through innovations in chemistry, iron industry, and backing Watt's engine","","","","","","","","Revolutionized sulfuric acid production with leaden condensing chambers (1746). Founded Carron ironworks in 1759, the foundation of the Scottish iron industry. Elected Fellow of the Royal Society in 1764.","","Claude Sonnet 4.5","UH::Period::18th_Century, UH::Region::Europe"
"Dt:raMl,4c","Joseph Black","Scottish chemist and physicist; discovered carbon dioxide, latent heat, and specific heat; influenced development of the steam engine.","1728","1799","<img src=""uh_joseph-black.jpg"">","James Watt (1736–1819): friend whose steam engine development was influenced by Black's theory of latent heat","Matthew Boulton (1728–1809): manufacturer whom Black connected with Watt to facilitate proper funding for the steam engine","","","","","","","Age of Enlightenment (1687–1789): intellectual movement during which Black worked within the Scottish Enlightenment alongside David Hume, Adam Smith, and James Hutton","Industrial Revolution (c. 1760–c. 1840): transformation that Black's latent heat theory helped enable through its influence on steam engine development","","","","","","","Discovery of carbon dioxide (""fixed air"") marked a new era of research on respiratory gases by Priestley, Scheele, Lavoisier, and Cavendish. His theory of latent heat was the beginning of thermodynamics.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Joseph_Black#/media/File:Joseph_Black_b1728.jpg"">Wikipedia</a> (Public domain)","UH::Period::18th_Century, UH::Region::Europe"
"b<f0=S@P@p","Joseph Dalton Hooker","British botanist and explorer; Darwin's closest friend and confidant; founder of geographical botany; director of Kew Gardens.","1817","1911","<img src=""uh_joseph-dalton-hooker.jpg"">","Alfred Russel Wallace (1823–1913): co-discoverer of natural selection whose papers Hooker jointly presented with Darwin to the Linnean Society in 1858","Charles Darwin (1809–1882): closest friend who confided his theory of evolution to Hooker fifteen years before publication; exchanged 1,400 letters over forty years","Thomas Henry Huxley (1825–1895): close friend and fellow defender of Darwin's theory; member of the X-Club together","","","","","","Publication of <i>On the Origin of Species</i> (1859): Darwin's groundbreaking work which Hooker was first to publicly support in <i>Flora Tasmaniae</i>","","","","","","","","Regarded as instrumental in the birth of modern botany. Co-authored <i>Genera Plantarum</i> (1862–1883), still one of the most important contributions to plant taxonomy. Director of Royal Botanic Gardens at Kew (1865–1885).","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Joseph_Dalton_Hooker#/media/File:Joseph_Dalton_Hooker_NLM3.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"Pu1KjlC8T<","Joseph Haydn","Classical composer; 'Father of the Symphony'; developed classical forms and mentored Beethoven","1732","1809","<img alt=""painted portrait"" src=""uh_joseph-haydn.jpg"">","Johann Wolfgang von Goethe (1749–1832): literary contemporary who shared Haydn's role in shaping European cultural life","Ludwig van Beethoven (1770–1827): student whom Haydn taught during Beethoven's early years in Vienna","","","","","","","Age of Enlightenment (1687–1789): intellectual movement that shaped the cultural climate in which Haydn composed","Classical period (music) (1750–1820): artistic era Haydn defined through his symphonies, string quartets, and other compositions","","","","","","","Composed over 100 symphonies and established the classical symphony and string quartet forms; served the Esterházy family for most of his career.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Joseph_Haydn#/media/File:Joseph_Haydn.jpg"">Wikipedia</a> (Public domain)","UH::Period::18th_Century, UH::Period::19th_Century, UH::Region::Europe"
"DHy-.l|mJT","José de San Martín","South American revolutionary leader; liberated Argentina, Chile, and Peru from Spanish rule.","1778","1850","<img alt=""Portrait of José de San Martín, raising the flag of Argentina"" src=""uh_josé-de-san-martín.jpg"">","Antonio José de Sucre (1795–1830): Bolívar's general who completed the liberation campaigns San Martín initiated","Simón Bolívar (1783–1830): fellow liberator with whom San Martín met at Guayaquil to coordinate South American independence","","","","","","","Peruvian War of Independence (1820–1824): campaign in which San Martín landed in Peru and declared its independence before ceding command to Bolívar","","","","","","","","Led Army of the Andes across the mountains to liberate Chile (1817–1818). Proclaimed Peruvian independence in 1821 and became 'Protector of Peru.' After the mysterious Guayaquil Conference with Bolívar (1822), he withdrew from public life and eventually went into self-imposed exile in Europe, where he died.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/José_de_San_Martín#/media/File:José_de_San_Martín_(retrato,_c.1828).jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::South_America"
"FnX=px3*b.","Karl Marx","Foundational theorist of socialism and communism; co-author of <em>The Communist Manifesto</em> (1848).","1818","1883","<img alt=""Black-and-white portrait photograph of Marx sitting"" src=""uh_karl-marx.png"">","Friedrich Engels (1820–1895): collaborator, benefactor, and co-author who helped develop and disseminate Marx’s ideas","Wilhelm Liebknecht (1826–1900): ally in socialist activism who helped propagate Marxist thought in Germany","","","","","","","First International (1864–1876): organization Marx helped lead to unite workers’ movements globally","Industrial Revolution (c. 1760–c. 1840): economic and social transformation that shaped the conditions Marx critiqued","Revolutions of 1848 (1848–1849): European uprisings in which Marx was an active participant and analyst","","","","","","Marx spent most of his life in financial difficulty; much of his work was funded by Engels. He researched intensively at the British Museum and was buried in London.","","Image: <a href=""https://en.wikipedia.org/wiki/Karl_Marx#/media/File:Karl_Marx_by_John_Jabez_Edwin_Mayall_1875_-_Restored_&_Adjusted_(3x4_cropped_b).png"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"tR1_4Y>qzr","Klemens von Metternich","Austrian statesman; architect of the post-Napoleonic European order and conservative diplomacy","1773","1859","<img src=""uh_klemens-von-metternich.jpeg"">","Alexander I of Russia (1777–1825): Russian emperor with whom Metternich coordinated coalition diplomacy against Napoleon","Napoleon Bonaparte (1769–1821): adversary whose defeat enabled Metternich to reshape European politics","Otto von Bismarck (1815–1898): later statesman whose diplomatic approach drew on methods Metternich pioneered","","","","","","Concert of Europe (1815–c. 1848): system of great-power cooperation Metternich helped design to maintain stability and suppress revolutions","Congress of Vienna (1814–1815): diplomatic summit orchestrated by Metternich that established the post-Napoleonic balance of power","Napoleonic Wars (1803–1815): conflicts during which Metternich navigated Austrian survival and eventual victory","","","","","","Dominated European diplomacy for decades; upheld conservative principles against revolutionary movements.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Klemens_von_Metternich#/media/File:Prince_Metternich_by_Lawrence.jpeg"">Wikipedia</a> (Public domain)","UH::Period::18th_Century, UH::Period::19th_Century, UH::Region::Europe"
